Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,161.8 ns",1.80 ns,1.69 ns,"860,784",15.00,0.58,Faster,0.00,1,100.15 uj,86203282.67 uj
Utf8Json_Deserialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,016.1 ns",5.41 ns,5.06 ns,"494,928",15.00,1.00,Same,0.00,2,173.25 uj,85746635.20 uj
STJ_Deserialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,016.7 ns",2.70 ns,2.53 ns,"496,384",15.00,1.00,Baseline,0.00,2,179.94 uj,89320975.13 uj
Jil_Deserialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,267.8 ns",5.24 ns,4.90 ns,"440,506",15.00,1.12,Slower,0.00,3,195.83 uj,86263105.40 uj
Newtonsoft_Deserialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"3,537.7 ns",5.07 ns,4.74 ns,"283,328",15.00,1.75,Slower,0.00,4,308.91 uj,87523290.73 uj
SpanJson_Serialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"162,988.2 ns",601.54 ns,562.68 ns,"6,152",15.00,0.87,Faster,0.01,1,12073.90 uj,74278618.53 uj
STJ_Serialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"187,447.1 ns","2,371.42 ns","2,218.23 ns","5,392",15.00,1.00,Baseline,0.02,2,17570.90 uj,94742282.60 uj
Jil_Serialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"285,468.6 ns",211.46 ns,197.80 ns,"3,509",15.00,1.52,Slower,0.02,3,24888.72 uj,87334525.73 uj
Utf8Json_Serialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"295,433.4 ns","2,159.48 ns","2,019.98 ns","3,408",15.00,1.58,Slower,0.02,4,28518.74 uj,97191849.27 uj
Newtonsoft_Serialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"305,380.6 ns",611.89 ns,572.36 ns,"3,264",15.00,1.63,Slower,0.02,4,25566.05 uj,83447585.07 uj
Jil_Serialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"37,234.4 ns",97.30 ns,91.02 ns,"26,832",15.00,0.79,Faster,0.00,1,3190.39 uj,85604468.47 uj
SpanJson_Serialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"39,969.6 ns",677.53 ns,633.76 ns,"25,347",15.00,0.85,Faster,0.01,2,2564.72 uj,65008057.07 uj
STJ_Serialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"46,901.9 ns",109.92 ns,102.82 ns,"21,472",15.00,1.00,Baseline,0.00,3,4128.69 uj,88651311.00 uj
Newtonsoft_Serialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"53,680.2 ns",155.29 ns,145.25 ns,"18,752",15.00,1.14,Slower,0.00,4,4590.12 uj,86073998.33 uj
Utf8Json_Serialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"57,942.7 ns","1,359.61 ns","1,271.78 ns","17,232",15.00,1.24,Slower,0.03,5,4664.86 uj,80384942.27 uj
Utf8Json_Serialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,884.3 ns,1.04 ns,0.97 ns,"1,131,584",15.00,0.68,Faster,0.00,1,76.60 uj,86673903.27 uj
SpanJson_Serialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,246.5 ns",3.00 ns,2.81 ns,"800,816",15.00,0.96,Faster,0.00,2,82.66 uj,66192571.47 uj
STJ_Serialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,301.4 ns",3.10 ns,2.90 ns,"772,432",15.00,1.00,Baseline,0.00,3,115.96 uj,89567401.60 uj
Jil_Serialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,743.1 ns",3.70 ns,3.46 ns,"573,634",15.00,1.34,Slower,0.00,4,154.45 uj,88598995.87 uj
Newtonsoft_Serialize_Small,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,242.1 ns",17.24 ns,16.13 ns,"451,840",15.00,1.72,Slower,0.01,5,197.20 uj,89102005.87 uj
