Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,158.3 ns",2.51 ns,2.35 ns,"862,560",15.00,0.58,Faster,0.00,1,98.73 uj,85164499.73 uj
STJ_Deserialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,988.3 ns",3.93 ns,3.67 ns,"501,760",15.00,1.00,Baseline,0.00,2,176.89 uj,88757748.00 uj
Utf8Json_Deserialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,055.8 ns",6.36 ns,5.94 ns,"483,392",15.00,1.03,Same,0.00,3,173.77 uj,83998601.00 uj
Jil_Deserialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,264.1 ns",2.25 ns,2.11 ns,"442,330",15.00,1.14,Slower,0.00,4,193.12 uj,85421831.40 uj
Newtonsoft_Deserialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"3,572.0 ns",3.58 ns,3.35 ns,"279,760",15.00,1.80,Slower,0.00,5,312.17 uj,87333569.47 uj
SpanJson_Serialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"161,646.7 ns",979.81 ns,916.51 ns,"6,169",15.00,0.84,Faster,0.01,1,11732.28 uj,72376426.00 uj
STJ_Serialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"192,242.0 ns","1,033.28 ns",966.53 ns,"5,248",15.00,1.00,Baseline,0.01,2,17725.46 uj,93023203.60 uj
Jil_Serialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"274,250.5 ns",381.73 ns,357.07 ns,"3,659",15.00,1.43,Slower,0.01,3,23586.61 uj,86303388.13 uj
Utf8Json_Serialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"288,424.3 ns",926.65 ns,866.79 ns,"3,472",15.00,1.50,Slower,0.01,4,27695.81 uj,96159857.27 uj
Newtonsoft_Serialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"291,484.6 ns",375.20 ns,350.96 ns,"3,456",15.00,1.52,Slower,0.01,4,24612.35 uj,85060268.20 uj
Jil_Serialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"37,221.1 ns",114.38 ns,106.99 ns,"26,913",15.00,0.79,Faster,0.01,1,3151.57 uj,84818089.27 uj
SpanJson_Serialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"38,911.6 ns",97.41 ns,91.11 ns,"25,690",15.00,0.83,Faster,0.01,2,2479.76 uj,63704935.47 uj
STJ_Serialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"47,017.4 ns",344.00 ns,321.78 ns,"21,552",15.00,1.00,Baseline,0.01,3,4083.50 uj,88007640.07 uj
Newtonsoft_Serialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"54,800.7 ns",339.89 ns,317.93 ns,"18,304",15.00,1.17,Slower,0.01,4,4641.52 uj,84958469.93 uj
Utf8Json_Serialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"58,221.1 ns",651.60 ns,609.51 ns,"17,072",15.00,1.24,Slower,0.02,5,4686.56 uj,80009019.60 uj
Utf8Json_Serialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,956.4 ns,0.72 ns,0.67 ns,"1,044,448",15.00,0.74,Faster,0.00,1,81.48 uj,85105332.27 uj
SpanJson_Serialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,200.5 ns",2.04 ns,1.91 ns,"829,936",15.00,0.93,Faster,0.00,2,78.55 uj,65190991.20 uj
STJ_Serialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,292.6 ns",1.46 ns,1.37 ns,"774,224",15.00,1.00,Baseline,0.00,3,113.14 uj,87593794.33 uj
Jil_Serialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,735.7 ns",3.21 ns,3.00 ns,"576,048",15.00,1.34,Slower,0.00,4,153.26 uj,88284380.80 uj
Newtonsoft_Serialize_Small,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,209.2 ns",11.70 ns,10.95 ns,"453,840",15.00,1.71,Slower,0.01,5,192.78 uj,87492610.40 uj
