Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
STJ_Deserialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,004.8 ns",4.37 ns,4.09 ns,"499,824",15.00,1.00,Baseline,2,180.02 uj,89978256.67 uj
Utf8Json_Deserialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,052.2 ns",4.17 ns,3.90 ns,"487,200",15.00,1.02,Same,2,174.06 uj,84799697.33 uj
Jil_Deserialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,251.2 ns",2.58 ns,2.41 ns,"443,669",15.00,1.12,Slower,3,193.14 uj,85690588.73 uj
Newtonsoft_Deserialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"3,577.8 ns",1.54 ns,1.44 ns,"279,616",15.00,1.78,Slower,4,312.37 uj,87342834.73 uj
SpanJson_Serialize_Large,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"159,903.9 ns","1,011.27 ns",945.94 ns,"6,276",15.00,0.85,Faster,1,11637.15 uj,73034725.13 uj
STJ_Serialize_Large,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"188,429.6 ns",364.12 ns,340.60 ns,"5,344",15.00,1.00,Baseline,2,17550.55 uj,93790128.53 uj
Jil_Serialize_Large,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"271,362.2 ns",280.73 ns,262.59 ns,"3,690",15.00,1.44,Slower,3,23698.81 uj,87448624.47 uj
Utf8Json_Serialize_Large,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"281,335.5 ns","2,829.64 ns","2,646.84 ns","3,584",15.00,1.49,Slower,4,27460.09 uj,98416964.07 uj
Newtonsoft_Serialize_Large,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"313,089.9 ns",270.59 ns,253.11 ns,"3,200",15.00,1.66,Slower,5,25977.45 uj,83127830.93 uj
Jil_Serialize_Medium,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"36,982.5 ns",109.50 ns,102.43 ns,"27,032",15.00,0.78,Faster,1,3176.91 uj,85878271.33 uj
SpanJson_Serialize_Medium,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"39,310.1 ns",138.11 ns,129.18 ns,"25,402",15.00,0.83,Faster,2,2529.04 uj,64242698.53 uj
STJ_Serialize_Medium,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"47,464.0 ns",131.64 ns,123.14 ns,"21,408",15.00,1.00,Baseline,3,4128.56 uj,88384221.87 uj
Newtonsoft_Serialize_Medium,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,614.3 ns",125.95 ns,117.82 ns,"18,064",15.00,1.17,Slower,4,4738.30 uj,85592660.07 uj
Utf8Json_Serialize_Medium,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"56,835.9 ns",567.35 ns,530.70 ns,"17,472",15.00,1.20,Slower,4,4626.28 uj,80830420.67 uj
Utf8Json_Serialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,955.3 ns,3.99 ns,3.73 ns,"1,042,992",15.00,0.75,Faster,1,81.50 uj,85007371.20 uj
SpanJson_Serialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,232.1 ns",2.23 ns,2.08 ns,"807,968",15.00,0.97,Faster,2,81.49 uj,65838955.13 uj
STJ_Serialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,276.2 ns",1.26 ns,1.17 ns,"784,800",15.00,1.00,Baseline,3,113.79 uj,89306005.20 uj
Jil_Serialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,741.4 ns",2.52 ns,2.36 ns,"573,678",15.00,1.36,Slower,4,154.97 uj,88904927.80 uj
Newtonsoft_Serialize_Small,Overhead-Fixed-Energy-5,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,222.1 ns",5.42 ns,5.07 ns,"450,448",15.00,1.74,Slower,5,195.51 uj,88066416.60 uj
